xYear,State,County,Age_Group,rundatetime,PatCount_Opioid,Population
2018,CA,Alameda,15-24 yrs,06MAY2025:13:41:54,16137,"1,662,647"
2018,CA,Alpine,15-24 yrs,06MAY2025:13:41:54,10,"1,006"
2018,CA,Amador,15-24 yrs,06MAY2025:13:41:54,437,"38,522"
2018,CA,Butte,15-24 yrs,06MAY2025:13:41:54,3566,"226,231"
2018,CA,Calaveras,15-24 yrs,06MAY2025:13:41:54,548,"45,558"
2018,CA,Colusa,15-24 yrs,06MAY2025:13:41:54,315,"21,729"
2018,CA,Contra Costa,15-24 yrs,06MAY2025:13:41:54,14156,"1,136,283"
2018,CA,Del Norte,15-24 yrs,06MAY2025:13:41:54,292,"27,495"
2018,CA,El Dorado,15-24 yrs,06MAY2025:13:41:54,2938,"188,491"
2018,CA,Fresno,15-24 yrs,06MAY2025:13:41:54,15467,"989,136"
2018,CA,Glenn,15-24 yrs,06MAY2025:13:41:54,415,"28,267"
2018,CA,Humboldt,15-24 yrs,06MAY2025:13:41:54,1703,"136,041"
2018,CA,Imperial,15-24 yrs,06MAY2025:13:41:54,2189,"176,081"
2018,CA,Inyo,15-24 yrs,06MAY2025:13:41:54,168,"19,272"
2018,CA,Kern,15-24 yrs,06MAY2025:13:41:54,14331,"889,141"
2018,CA,Kings,15-24 yrs,06MAY2025:13:41:54,2385,"149,259"
2018,CA,Lake,15-24 yrs,06MAY2025:13:41:54,905,"64,223"
2018,CA,Lassen,15-24 yrs,06MAY2025:13:41:54,365,"33,006"
2018,CA,Los Angeles,15-24 yrs,06MAY2025:13:41:54,100444,10074537
2018,CA,Madera,15-24 yrs,06MAY2025:13:41:54,2338,"154,817"
2018,CA,Marin,15-24 yrs,06MAY2025:13:41:54,2874,"259,087"
2018,CA,Mariposa,15-24 yrs,06MAY2025:13:41:54,180,"16,005"
2018,CA,Mendocino,15-24 yrs,06MAY2025:13:41:54,1276,"86,841"
2018,CA,Merced,15-24 yrs,06MAY2025:13:41:54,4239,"269,998"
2018,CA,Modoc,15-24 yrs,06MAY2025:13:41:54,83,"7,849"
2018,CA,Mono,15-24 yrs,06MAY2025:13:41:54,150,"12,753"
2018,CA,Monterey,15-24 yrs,06MAY2025:13:41:54,5114,"419,825"
2018,CA,Napa,15-24 yrs,06MAY2025:13:41:54,1774,"140,274"
2018,CA,Nevada,15-24 yrs,06MAY2025:13:41:54,1009,"96,666"
2018,CA,Orange,15-24 yrs,06MAY2025:13:41:54,36586,"3,175,209"
2018,CA,Placer,15-24 yrs,06MAY2025:13:41:54,5592,"388,469"
2018,CA,Plumas,15-24 yrs,06MAY2025:13:41:54,166,"17,201"
2018,CA,Riverside,15-24 yrs,06MAY2025:13:41:54,31795,"2,413,438"
2018,CA,Sacramento,15-24 yrs,06MAY2025:13:41:54,20058,"1,526,256"
2018,CA,San Benito,15-24 yrs,06MAY2025:13:41:54,813,"58,830"
2018,CA,San Bernardino,15-24 yrs,06MAY2025:13:41:54,28677,"2,145,184"
2018,CA,San Diego,15-24 yrs,06MAY2025:13:41:54,37275,"3,310,766"
2018,CA,San Francisco,15-24 yrs,06MAY2025:13:41:54,6058,"874,961"
2018,CA,San Joaquin,15-24 yrs,06MAY2025:13:41:54,10713,"741,463"
2018,CA,San Luis Obispo,15-24 yrs,06MAY2025:13:41:54,3377,"280,493"
2018,CA,San Mateo,15-24 yrs,06MAY2025:13:41:54,7302,"737,926"
2018,CA,Santa Barbara,15-24 yrs,06MAY2025:13:41:54,5598,"445,342"
2018,CA,Santa Clara,15-24 yrs,06MAY2025:13:41:54,20402,"1,952,377"
2018,CA,Santa Cruz,15-24 yrs,06MAY2025:13:41:54,3749,"293,319"
2018,CA,Shasta,15-24 yrs,06MAY2025:13:41:54,2404,"186,541"
2018,CA,Sierra,15-24 yrs,06MAY2025:13:41:54,16,"2,755"
2018,CA,Siskiyou,15-24 yrs,06MAY2025:13:41:54,473,"44,533"
2018,CA,Solano,15-24 yrs,06MAY2025:13:41:54,5710,"440,759"
2018,CA,Sonoma,15-24 yrs,06MAY2025:13:41:54,6151,"500,203"
2018,CA,Stanislaus,15-24 yrs,06MAY2025:13:41:54,9102,"547,424"
2018,CA,Sutter,15-24 yrs,06MAY2025:13:41:54,1490,"95,364"
2018,CA,Tehama,15-24 yrs,06MAY2025:13:41:54,806,"55,078"
2018,CA,Trinity,15-24 yrs,06MAY2025:13:41:54,136,"12,562"
2018,CA,Tulare,15-24 yrs,06MAY2025:13:41:54,6891,"458,532"
2018,CA,Tuolumne,15-24 yrs,06MAY2025:13:41:54,627,"52,508"
2018,CA,Ventura,15-24 yrs,06MAY2025:13:41:54,11252,"852,332"
2018,CA,Yolo,15-24 yrs,06MAY2025:13:41:54,2964,"219,016"
2018,CA,Yuba,15-24 yrs,06MAY2025:13:41:54,1193,"75,465"
2018,CA,Alameda,25-44 yrs,06MAY2025:13:41:54,58493,"1,662,647"
2018,CA,Alpine,25-44 yrs,06MAY2025:13:41:54,23,"1,006"
2018,CA,Amador,25-44 yrs,06MAY2025:13:41:54,1529,"38,522"
2018,CA,Butte,25-44 yrs,06MAY2025:13:41:54,12032,"226,231"
2018,CA,Calaveras,25-44 yrs,06MAY2025:13:41:54,1999,"45,558"
2018,CA,Colusa,25-44 yrs,06MAY2025:13:41:54,884,"21,729"
2018,CA,Contra Costa,25-44 yrs,06MAY2025:13:41:54,43099,"1,136,283"
2018,CA,Del Norte,25-44 yrs,06MAY2025:13:41:54,1202,"27,495"
2018,CA,El Dorado,25-44 yrs,06MAY2025:13:41:54,7866,"188,491"
