STATEFP,COUNTYFP,COUNTYNS,GEOID,NAME,NAMELSAD,LSAD,CLASSFP,MTFCC,CSAFP,CBSAFP,METDIVFP,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,Shape_Leng,Shape_Area,Shape__Area,Shape__Length
6,75,277302,6075,San Francisco,San Francisco County,6,H6,G4020,488,41860,41884,C,121477743.0,479114582.0,37.7272391,-123.0322294,203234.8844,962538350.29,962538350.2617190,203234.88440034900
6,59,277294,6059,Orange,Orange County,6,H1,G4020,348,31080,11244,A,2053367783.0,401931862.0,33.6756872,-117.7772068,261547.8529,3554704420.82,3554704420.7421900,261547.85290018500
6,3,1675840,6003,Alpine,Alpine County,6,H1,G4020, , , ,A,1912292608.0,12557304.0,38.6217831,-119.7983522,275565.412692,3156005636.35,3156005636.3125,275565.41269154900
6,81,277305,6081,San Mateo,San Mateo County,6,H1,G4020,488,41860,41884,A,1161957020.0,757114175.0,37.4146725,-122.3715457,279022.780527,3049212258.18,3049212258.21875,279022.78052748800
6,87,277308,6087,Santa Cruz,Santa Cruz County,6,H1,G4020,488,42100, ,A,1152794691.0,419743117.0,37.0124883,-122.0072050,281618.329542,2471495314.39,2471495314.4179700,281618.3295419360
6,41,277285,6041,Marin,Marin County,6,H1,G4020,488,41860,42034,A,1347950152.0,797055812.0,38.0518169,-122.7459738,296473.594816,3465180268.25,3465180268.25,296473.59481645400
6,1,1675839,6001,Alameda,Alameda County,6,H1,G4020,488,41860,36084,A,1909614756.0,216907015.0,37.6471385,-121.9124880,309844.135329,3398123298.04,3398123298.078130,309844.13532934000
6,13,1675903,6013,Contra Costa,Contra Costa County,6,H1,G4020,488,41860,36084,A,1857229826.0,225285866.0,37.9194790,-121.9515431,320441.822909,3352256298.17,3352256298.0742200,320441.82290932700
6,95,277312,6095,Solano,Solano County,6,H1,G4020,488,46700, ,A,2128488719.0,218671901.0,38.2672255,-121.9395940,336980.842711,3813669257.94,3813669257.9726600,336980.842711131
6,101,277315,6101,Sutter,Sutter County,6,H1,G4020,472,49700, ,A,1560546528.0,15240591.0,39.0361898,-121.7039397,350298.700549,2615351794.61,2615351794.6601600,350298.70054858
6,55,277292,6055,Napa,Napa County,6,H1,G4020,488,34900, ,A,1937986794.0,104295181.0,38.5070999,-122.3259045,350322.09133,3340191143.01,3340191143.0703100,350322.0913302720
6,31,277280,6031,Kings,Kings County,6,H1,G4020,260,25260, ,A,3600883803.0,3162664.0,36.0724780,-119.8155301,354668.809276,5528559882.9,5528559882.890630,354668.80927572500
6,5,1675841,6005,Amador,Amador County,6,H1,G4020, , , ,A,1539933596.0,29470567.0,38.4435501,-120.6538563,359598.553943,2562527949.31,2562527949.3085900,359598.55394297900
6,115,277322,6115,Yuba,Yuba County,6,H1,G4020,472,49700, ,A,1636913845.0,31057995.0,39.2701300,-121.3442587,362948.861924,2786711019.33,2786711019.21875,362948.86192401800
6,9,1675885,6009,Calaveras,Calaveras County,6,H1,G4020, , , ,A,2641784992.0,43841871.0,38.1838996,-120.5614415,367005.87968,4356213312.52,4356213312.53125,367005.8796800650
6,91,277310,6091,Sierra,Sierra County,6,H1,G4020, , , ,A,2468694583.0,23299110.0,39.5769252,-120.5219926,375602.758281,4200449582.9,4200449582.9765600,375602.75828117900
6,11,1675902,6011,Colusa,Colusa County,6,H1,G4020, , , ,A,2980332742.0,14608887.0,39.1777385,-122.2375629,386043.027468,4990771281.64,4990771281.503910,386043.0274680400
6,21,277275,6021,Glenn,Glenn County,6,H1,G4020, , , ,A,3403160291.0,33693350.0,39.6025462,-122.4016998,396797.835015,5796097730.34,5796097730.332030,396797.83501478400
6,67,277298,6067,Sacramento,Sacramento County,6,H1,G4020,472,40900, ,A,2499983887.0,75425434.0,38.4500161,-121.3404408,406584.174167,4205515609.97,4205515610.0742200,406584.17416713400
