"county","Label (Grouping)","SEX AND AGE","SEX AND AGE!!Total population","SEX AND AGE!!Total population!!Male","SEX AND AGE!!Total population!!Female","SEX AND AGE!!Total population!!Sex ratio (males per 100 females)","SEX AND AGE!!Total population!!Under 5 years","SEX AND AGE!!Total population!!5 to 9 years","SEX AND AGE!!Total population!!10 to 14 years","SEX AND AGE!!Total population!!15 to 19 years","SEX AND AGE!!Total population!!20 to 24 years","SEX AND AGE!!Total population!!25 to 34 years","SEX AND AGE!!Total population!!35 to 44 years","SEX AND AGE!!Total population!!45 to 54 years","SEX AND AGE!!Total population!!55 to 59 years","SEX AND AGE!!Total population!!60 to 64 years","SEX AND AGE!!Total population!!65 to 74 years","SEX AND AGE!!Total population!!75 to 84 years","SEX AND AGE!!Total population!!85 years and over","SEX AND AGE!!Total population!!Median age (years)","SEX AND AGE!!Total population!!Under 18 years","SEX AND AGE!!Total population!!16 years and over","SEX AND AGE!!Total population!!18 years and over...23","SEX AND AGE!!Total population!!21 years and over","SEX AND AGE!!Total population!!62 years and over","SEX AND AGE!!Total population!!65 years and over...26","SEX AND AGE!!Total population!!18 years and over...27","SEX AND AGE!!Total population!!18 years and over!!Male","SEX AND AGE!!Total population!!18 years and over!!Female","SEX AND AGE!!Total population!!18 years and over!!Sex ratio (males per 100 females)","SEX AND AGE!!Total population!!65 years and over...31","SEX AND AGE!!Total population!!65 years and over!!Male","SEX AND AGE!!Total population!!65 years and over!!Female","SEX AND AGE!!Total population!!65 years and over!!Sex ratio (males per 100 females)","RACE","RACE!!Total population","RACE!!Total population!!One race...37","RACE!!Total population!!Two or More Races...38","RACE!!Total population!!One race...39","RACE!!Total population!!One race!!White","RACE!!Total population!!One race!!Black or African American","RACE!!Total population!!One race!!American Indian and Alaska Native","RACE!!Total population!!One race!!American Indian and Alaska Native!!Aztec","RACE!!Total population!!One race!!American Indian and Alaska Native!!Blackfeet Tribe of the Blackfeet Indian Reservation of Montana","RACE!!Total population!!One race!!American Indian and Alaska Native!!Maya","RACE!!Total population!!One race!!American Indian and Alaska Native!!Native Village of Barrow Inupiat Traditional Government","RACE!!Total population!!One race!!American Indian and Alaska Native!!Navajo Nation","RACE!!Total population!!One race!!American Indian and Alaska Native!!Nome Eskimo Community","RACE!!Total population!!One race!!American Indian and Alaska Native!!Other American Indian and Alaska Native","RACE!!Total population!!One race!!Asian","RACE!!Total population!!One race!!Asian!!Asian Indian","RACE!!Total population!!One race!!Asian!!Chinese","RACE!!Total population!!One race!!Asian!!Filipino","RACE!!Total population!!One race!!Asian!!Japanese","RACE!!Total population!!One race!!Asian!!Korean","RACE!!Total population!!One race!!Asian!!Vietnamese","RACE!!Total population!!One race!!Asian!!Other Asian","RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander","RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Chamorro","RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Native Hawaiian","RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Samoan","RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Other Native Hawaiian and Other Pacific Islander","RACE!!Total population!!One race!!Some Other Race","RACE!!Total population!!Two or More Races...64","RACE!!Total population!!Two or More Races!!White and Black or African American","RACE!!Total population!!Two or More Races!!White and American Indian and Alaska Native","RACE!!Total population!!Two or More Races!!White and Asian","RACE!!Total population!!Two or More Races!!White and Some Other Race","RACE!!Total population!!Two or More Races!!Black or African American and American Indian and Alaska Native","RACE!!Total population!!Two or More Races!!Black or African American and Some Other Race","Race alone or in combination with one or more other races","Race alone or in combination with one or more other races!!Total population","Race alone or in combination with one or more other races!!Total population!!White","Race alone or in combination with one or more other races!!Total population!!Black or African American","Race alone or in combination with one or more other races!!Total population!!American Indian and Alaska Native","Race alone or in combination with one or more other races!!Total population!!Asian","Race alone or in combination with one or more other races!!Total population!!Native Hawaiian and Other Pacific Islander","Race alone or in combination with one or more other races!!Total population!!Some Other Race","HISPANIC OR LATINO AND RACE","HISPANIC OR LATINO AND RACE!!Total population","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Mexican","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Puerto Rican","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Cuban","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Other Hispanic or Latino","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!White alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Black or African American alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!American Indian and Alaska Native alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Asian alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Some Other Race alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or More Races","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or More Races!!Two races including Some Other Race","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or More Races!!Two races excluding Some Other Race, and three or more races","Total housing units","CITIZEN, VOTING AGE POPULATION","CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population","CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population!!Male","CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population!!Female"
"Alameda","Estimate",NA,"1,651,949","819,520","832,429","98.4","88,228","91,717","94,521","96,042","91,539","260,856","259,960","220,682","105,447","96,116","146,260","70,518","30,063","38.7","331,035","1,359,199","1,320,914","1,262,399","301,112","246,841","1,320,914","649,970","670,944","96.9","246,841","109,970","136,871","80.3",NA,"1,651,949","1,465,063","186,886","1,465,063","528,396","163,859","14,764","3,439","287","2,437","0","594","0","8,007","532,550","148,899","180,853","85,256","10,896","19,330","32,437","54,879","12,309","1,130","1,502","1,977","7,700","213,185","186,886","15,376","7,004","41,369","78,703","2,444","4,750",NA,"1,651,949","690,133","199,493","34,830","596,910","23,714","314,794",NA,"1,651,949","385,245","269,569","12,475","3,057","100,144","1,266,704","466,445","159,042","4,002","528,377","11,651","10,314","86,873","11,172","75,701","630,726",NA,"1,088,772","532,173","556,599"
"Alpine","Estimate",NA,"1,695","885","810","109.3","161","83","56","115","102","171","244","114","168","112","336","22","11","41.1","383","1,366","1,312","1,280","465","369","1,312","682","630","108.3","369","213","156","136.5",NA,"1,695","1,564","131","1,564","1,076","0","458","0","0","0","0","0","0","458","8","0","0","0","3","5","0","0","0","0","0","0","0","22","131","0","9","0","110","0","0",NA,"1,695","1,203","0","477","9","2","141",NA,"1,695","249","149","0","0","100","1,446","993","0","417","8","0","6","22","19","3","1,587",NA,"1,289","659","630"
"Amador","Estimate",NA,"41,029","22,409","18,620","120.3","1,587","1,712","1,857","1,776","1,593","4,522","5,219","5,008","2,581","4,011","6,747","3,212","1,204","49.9","6,356","35,564","34,673","33,669","13,651","11,163","34,673","19,020","15,653","121.5","11,163","5,375","5,788","92.9",NA,"41,029","35,996","5,033","35,996","31,903","825","492","10","0","2","0","3","0","477","587","12","63","260","14","32","35","171","26","5","7","0","14","2,163","5,033","259","690","356","2,501","118","95",NA,"41,029","36,513","1,506","2,032","1,483","226","5,040",NA,"41,029","6,361","4,244","110","135","1,872","34,668","30,234","781","398","587","26","489","2,153","598","1,555","18,919",NA,"33,811","18,506","15,305"
"Butte","Estimate",NA,"209,470","104,228","105,242","99.0","11,053","12,251","12,086","14,875","22,959","27,410","24,723","21,532","12,139","12,388","22,964","11,313","3,777","36.3","42,935","171,452","166,535","154,292","45,428","38,054","166,535","82,155","84,380","97.4","38,054","17,389","20,665","84.1",NA,"209,470","184,178","25,292","184,178","152,117","3,712","2,586","113","40","116","0","72","0","2,245","11,335","621","1,216","1,371","249","419","553","6,906","644","123","181","8","332","13,784","25,292","2,048","4,795","2,610","12,917","89","163",NA,"209,470","176,485","6,583","8,953","14,857","1,458","28,436",NA,"209,470","40,829","34,463","1,078","220","5,068","168,641","139,527","3,550","1,611","11,010","554","1,072","11,317","2,276","9,041","91,176",NA,"159,455","78,451","81,004"
"Calaveras","Estimate",NA,"45,995","22,864","23,131","98.8","1,850","2,174","2,124","2,310","1,843","4,239","4,921","5,355","3,831","4,128","7,990","4,024","1,206","52.0","7,768","39,432","38,227","37,061","15,523","13,220","38,227","18,823","19,404","97.0","13,220","6,349","6,871","92.4",NA,"45,995","40,845","5,150","40,845","37,159","529","676","98","0","0","0","0","0","578","1,066","0","324","407","71","18","0","246","24","0","18","0","6","1,391","5,150","132","947","257","3,412","39","2",NA,"45,995","42,126","741","1,733","1,489","178","4,978",NA,"45,995","6,403","4,601","277","45","1,480","39,592","35,599","529","424","1,066","24","3","1,947","592","1,355","27,579",NA,"37,092","18,224","18,868"
"Colusa","Estimate",NA,"21,895","11,300","10,595","106.7","1,458","1,718","1,647","1,691","1,411","2,774","2,844","2,416","1,235","1,346","2,013","723","619","35.7","5,987","16,544","15,908","15,165","4,239","3,355","15,908","8,181","7,727","105.9","3,355","1,706","1,649","103.5",NA,"21,895","17,541","4,354","17,541","11,210","311","308","19","0","0","0","0","0","289","145","61","2","11","0","0","3","68","14","0","0","0","14","5,553","4,354","42","332","145","3,570","20","48",NA,"21,895","15,463","455","707","454","108","9,226",NA,"21,895","13,639","13,064","0","0","575","8,256","6,869","311","154","101","14","172","635","7","628","8,157",NA,"12,505","6,253","6,252"
"Contra Costa","Estimate",NA,"1,161,458","571,170","590,288","96.8","62,580","69,098","78,046","75,475","65,271","142,762","162,842","158,757","79,018","73,793","113,835","57,006","22,975","40.3","258,092","936,141","903,366","863,705","236,811","193,816","903,366","439,634","463,732","94.8","193,816","86,507","107,309","80.6",NA,"1,161,458","992,840","168,618","992,840","505,202","98,346","9,941","2,631","181","1,348","0","104","34","5,643","214,958","41,894","55,441","55,805","7,477","9,871","10,585","33,885","5,593","372","640","2,022","2,559","158,800","168,618","11,787","7,770","28,870","84,928","2,145","3,299",NA,"1,161,458","655,589","125,077","30,516","260,665","13,936","262,737",NA,"1,161,458","316,799","209,392","8,759","1,802","96,846","844,659","455,961","94,864","1,806","212,373","5,158","7,601","66,896","10,445","56,451","426,585",NA,"788,352","381,533","406,819"
"Del Norte","Estimate",NA,"27,293","14,851","12,442","119.4","1,400","1,556","1,839","1,495","1,150","3,876","3,562","3,221","1,654","2,148","3,363","1,714","315","40.8","5,728","22,196","21,565","20,866","6,791","5,392","21,565","11,665","9,900","117.8","5,392","2,546","2,846","89.5",NA,"27,293","24,264","3,029","24,264","18,316","805","1,911","5","31","0","0","4","0","1,871","856","0","62","41","41","137","12","563","119","0","0","74","45","2,257","3,029","161","766","260","1,478","4","0",NA,"27,293","21,315","1,054","2,802","1,314","310","3,821",NA,"27,293","5,350","4,058","125","0","1,167","21,943","16,668","805","1,686","821","119","186","1,658","299","1,359","11,156",NA,"20,640","11,144","9,496"
"El Dorado","Estimate",NA,"192,299","96,171","96,128","100.0","8,711","9,999","11,808","11,121","8,828","19,396","23,795","23,919","15,043","15,871","27,216","12,138","4,454","46.1","37,917","159,360","154,382","148,788","52,293","43,808","154,382","76,744","77,638","98.8","43,808","21,098","22,710","92.9",NA,"192,299","174,679","17,620","174,679","153,632","1,644","1,189","104","78","11","0","17","0","979","10,082","1,572","1,779","3,484","598","539","661","1,449","241","0","113","66","62","7,891","17,620","1,121","2,553","3,211","8,279","0","23",NA,"192,299","170,826","3,187","4,769","14,459","1,462","17,114",NA,"192,299","27,230","20,009","849","129","6,243","165,069","142,547","1,522","824","9,640","218","927","9,391","1,937","7,454","94,258",NA,"147,318","73,258","74,060"
"Fresno","Estimate",NA,"1,012,152","507,316","504,836","100.5","72,049","77,601","85,566","76,718","69,033","151,806","134,374","111,204","54,698","50,352","77,147","36,368","15,236","33.2","283,823","761,285","728,329","686,131","158,157","128,751","728,329","362,150","366,179","98.9","128,751","58,278","70,473","82.7",NA,"1,012,152","800,566","211,586","800,566","423,296","44,392","14,036","2,590","11","103","0","421","0","10,911","111,385","21,980","7,392","13,566","3,792","2,141","4,577","57,937","1,729","172","199","562","796","205,728","211,586","8,347","7,797","9,316","164,044","1,394","1,752",NA,"1,012,152","623,383","61,101","31,318","129,291","5,318","385,563",NA,"1,012,152","547,669","504,216","4,321","1,063","38,069","464,483","273,299","42,060","4,074","108,809","1,511","4,308","30,422","4,443","25,979","342,003",NA,"629,685","308,832","320,853"
"Glenn","Estimate",NA,"28,623","14,673","13,950","105.2","1,851","1,725","2,552","2,107","1,762","3,840","3,409","3,144","1,465","1,946","2,851","1,317","654","35.9","7,501","22,108","21,122","19,923","5,960","4,822","21,122","10,717","10,405","103.0","4,822","2,301","2,521","91.3",NA,"28,623","24,485","4,138","24,485","17,120","158","439","46","0","14","0","39","0","340","777","0","341","91","110","7","110","118","22","0","0","22","0","5,969","4,138","41","517","188","3,172","0","53",NA,"28,623","21,184","273","1,093","983","59","9,307",NA,"28,623","12,632","12,058","5","29","540","15,991","13,918","158","203","777","22","37","876","149","727","10,973",NA,"18,588","9,453","9,135"
"Humboldt","Estimate",NA,"135,418","67,007","68,411","97.9","6,455","7,389","7,365","8,711","12,003","17,880","17,593","15,370","7,309","9,261","16,561","7,127","2,394","39.6","25,685","112,770","109,733","103,295","31,719","26,082","109,733","53,991","55,742","96.9","26,082","11,992","14,090","85.1",NA,"135,418","119,023","16,395","119,023","99,692","1,721","5,089","125","69","38","0","43","0","4,814","4,250","164","755","542","212","146","231","2,200","364","23","37","38","266","7,907","16,395","1,499","4,709","1,883","5,503","3","212",NA,"135,418","115,328","4,307","11,613","7,060","1,152","14,392",NA,"135,418","18,744","14,622","649","405","3,068","116,674","95,115","1,523","4,120","4,101","310","896","10,609","1,607","9,002","62,625",NA,"105,862","52,246","53,616"
"Imperial","Estimate",NA,"179,319","92,096","87,223","105.6","12,999","13,565","15,919","13,844","12,410","26,109","22,507","19,571","9,102","9,174","14,045","7,072","3,002","33.0","51,116","133,703","128,203","120,416","29,542","24,119","128,203","66,122","62,081","106.5","24,119","10,861","13,258","81.9",NA,"179,319","132,311","47,008","132,311","54,559","4,460","2,857","475","0","206","0","14","0","2,162","2,702","273","532","554","295","544","157","347","31","9","9","3","10","67,702","47,008","759","562","289","41,679","65","556",NA,"179,319","99,675","6,717","4,786","4,057","655","112,440",NA,"179,319","153,460","148,315","453","239","4,453","25,859","16,894","3,935","1,197","2,287","18","99","1,429","138","1,291","57,511",NA,"103,691","54,187","49,504"
"Inyo","Estimate",NA,"18,803","9,565","9,238","103.5","933","1,022","1,188","953","810","2,026","2,349","2,170","884","1,874","2,553","1,483","558","45.6","3,819","15,356","14,984","14,530","5,626","4,594","14,984","7,564","7,420","101.9","4,594","2,219","2,375","93.4",NA,"18,803","16,049","2,754","16,049","12,154","182","1,948","133","17","0","0","4","0","1,794","341","90","51","123","42","23","3","9","168","12","124","11","21","1,256","2,754","47","811","162","1,495","7","0",NA,"18,803","14,730","252","2,833","524","329","2,922",NA,"18,803","4,469","3,491","147","70","761","14,334","11,094","112","1,532","297","168","111","1,020","243","777","9,500",NA,"14,182","7,235","6,947"
"Kern","Estimate",NA,"910,433","463,861","446,572","103.9","65,691","71,981","79,503","70,981","63,467","137,943","120,840","99,749","48,799","45,826","65,531","29,410","10,712","32.4","262,550","677,057","647,883","609,968","132,872","105,653","647,883","330,052","317,831","103.8","105,653","49,188","56,465","87.1",NA,"910,433","716,360","194,073","716,360","448,046","46,946","10,938","2,965","119","738","0","187","0","6,929","46,219","12,362","4,118","19,628","1,193","1,944","2,581","4,393","1,472","162","323","418","569","162,739","194,073","6,968","8,526","6,499","156,335","722","1,243",NA,"910,433","635,072","60,562","26,467","58,752","4,694","328,554",NA,"910,433","507,456","456,454","5,603","1,178","44,221","402,977","279,058","43,962","2,829","44,565","1,057","4,350","27,156","4,928","22,228","304,481",NA,"547,512","276,814","270,698"
"Kings","Estimate",NA,"152,830","84,389","68,441","123.3","11,068","9,706","13,851","10,774","11,886","25,463","22,664","16,782","7,748","6,667","9,751","4,578","1,892","32.3","41,374","115,997","111,456","104,680","19,965","16,221","111,456","63,443","48,013","132.1","16,221","7,733","8,488","91.1",NA,"152,830","121,878","30,952","121,878","70,362","9,782","2,931","446","85","50","0","93","0","2,257","5,381","141","628","3,033","126","173","163","1,117","395","71","213","44","67","33,027","30,952","1,489","939","1,262","24,640","83","203",NA,"152,830","100,148","12,089","4,754","7,791","1,289","59,086",NA,"152,830","87,860","81,398","1,189","228","5,045","64,970","43,991","9,143","1,107","5,338","295","264","4,832","693","4,139","46,695",NA,"94,189","53,860","40,329"
