Year,ID,Name,Median Household Income*,90% Confidence Interval
2023,0,United States,"77,719","77,533 to 77,905"
2023,6000,California,"95,473","94,866 to 96,080"
2023,6001,Alameda County,"119,230","115,954 to 122,506"
2023,6003,Alpine County,"83,265","75,129 to 91,401"
2023,6005,Amador County,"80,767","73,729 to 87,805"
2023,6007,Butte County,"63,084","59,966 to 66,202"
2023,6009,Calaveras County,"77,041","69,437 to 84,645"
2023,6011,Colusa County,"66,675","58,759 to 74,591"
2023,6013,Contra Costa County,"122,000","117,837 to 126,163"
2023,6015,Del Norte County,"70,231","65,951 to 74,511"
2023,6017,El Dorado County,"107,063","102,121 to 112,005"
2023,6019,Fresno County,"71,271","69,560 to 72,982"
2023,6021,Glenn County,"64,197","57,452 to 70,942"
2023,6023,Humboldt County,"61,307","58,736 to 63,878"
2023,6025,Imperial County,"58,768","55,235 to 62,301"
2023,6027,Inyo County,"71,656","63,583 to 79,729"
2023,6029,Kern County,"68,436","66,141 to 70,731"
2023,6031,Kings County,"65,768","60,607 to 70,929"
2023,6033,Lake County,"57,945","53,681 to 62,209"
2023,6035,Lassen County,"77,743","73,515 to 81,971"
2023,6037,Los Angeles County,"86,499","85,733 to 87,265"
2023,6039,Madera County,"66,084","61,331 to 70,837"
2023,6041,Marin County,"139,197","132,371 to 146,023"
2023,6043,Mariposa County,"64,352","55,914 to 72,790"
2023,6045,Mendocino County,"65,891","60,908 to 70,874"
2023,6047,Merced County,"58,962","55,072 to 62,852"
2023,6049,Modoc County,"51,996","45,471 to 58,521"
2023,6051,Mono County,"82,973","72,523 to 93,423"
2023,6053,Monterey County,"86,809","83,139 to 90,479"
2023,6055,Napa County,"100,469","92,506 to 108,432"
2023,6057,Nevada County,"87,142","82,265 to 92,019"
2023,6059,Orange County,"109,768","108,016 to 111,520"
2023,6061,Placer County,"110,020","105,620 to 114,420"
2023,6063,Plumas County,"64,121","57,185 to 71,057"
2023,6065,Riverside County,"90,251","88,878 to 91,624"
2023,6067,Sacramento County,"89,984","88,375 to 91,593"
2023,6069,San Benito County,"105,112","98,796 to 111,428"
2023,6071,San Bernardino County,"84,576","82,853 to 86,299"
2023,6073,San Diego County,"103,476","102,355 to 104,597"
2023,6075,San Francisco County,"125,456","120,601 to 130,311"
2023,6077,San Joaquin County,"86,211","83,151 to 89,271"
2023,6079,San Luis Obispo County,"89,809","85,787 to 93,831"
2023,6081,San Mateo County,"151,004","147,822 to 154,186"
2023,6083,Santa Barbara County,"90,155","86,590 to 93,720"
2023,6085,Santa Clara County,"154,573","151,645 to 157,501"
2023,6087,Santa Cruz County,"102,723","96,853 to 108,593"
2023,6089,Shasta County,"71,935","67,289 to 76,581"
2023,6091,Sierra County,"67,675","58,751 to 76,599"
2023,6093,Siskiyou County,"58,975","53,910 to 64,040"
2023,6095,Solano County,"99,117","95,455 to 102,779"
2023,6097,Sonoma County,"100,157","97,064 to 103,250"
2023,6099,Stanislaus County,"81,582","78,802 to 84,362"
2023,6101,Sutter County,"71,968","66,402 to 77,534"
2023,6103,Tehama County,"58,333","52,122 to 64,544"
2023,6105,Trinity County,"52,079","45,459 to 58,699"
2023,6107,Tulare County,"71,368","68,543 to 74,193"
2023,6109,Tuolumne County,"72,329","64,719 to 79,939"
2023,6111,Ventura County,"106,526","102,615 to 110,437"
2023,6113,Yolo County,"91,192","86,864 to 95,520"
2023,6115,Yuba County,"71,493","65,895 to 77,091"
2022,0,United States,"74,755","74,607 to 74,903"
2022,6000,California,"91,517","91,049 to 91,985"
2022,6001,Alameda County,"121,190","118,039 to 124,341"
2022,6003,Alpine County,"71,646","62,602 to 80,690"
2022,6005,Amador County,"74,356","67,892 to 80,820"
2022,6007,Butte County,"63,353","59,804 to 66,902"
2022,6009,Calaveras County,"73,175","64,882 to 81,468"
2022,6011,Colusa County,"72,963","67,102 to 78,824"
2022,6013,Contra Costa County,"119,667","116,587 to 122,747"
2022,6015,Del Norte County,"57,297","52,171 to 62,423"
2022,6017,El Dorado County,"104,859","100,820 to 108,898"
2022,6019,Fresno County,"68,693","66,276 to 71,110"
2022,6021,Glenn County,"63,247","57,048 to 69,446"
2022,6023,Humboldt County,"57,660","54,646 to 60,674"
2022,6025,Imperial County,"55,523","50,620 to 60,426"
2022,6027,Inyo County,"64,332","57,108 to 71,556"
2022,6029,Kern County,"65,981","64,214 to 67,748"
2022,6031,Kings County,"63,683","59,067 to 68,299"
2022,6033,Lake County,"51,848","47,931 to 55,765"
2022,6035,Lassen County,"60,308","52,972 to 67,644"
2022,6037,Los Angeles County,"82,455","81,813 to 83,097"
2022,6039,Madera County,"71,273","66,341 to 76,205"
2022,6041,Marin County,"135,960","126,214 to 145,706"
2022,6043,Mariposa County,"66,513","60,389 to 72,637"
2022,6045,Mendocino County,"63,621","58,519 to 68,723"
2022,6047,Merced County,"65,253","61,387 to 69,119"
2022,6049,Modoc County,"51,166","45,778 to 56,554"
2022,6051,Mono County,"79,105","69,292 to 88,918"
2022,6053,Monterey County,"91,450","88,771 to 94,129"
2022,6055,Napa County,"98,580","92,412 to 104,748"
2022,6057,Nevada County,"80,069","72,665 to 87,473"
2022,6059,Orange County,"106,047","104,752 to 107,342"
2022,6061,Placer County,"106,114","101,033 to 111,195"
2022,6063,Plumas County,"66,725","59,569 to 73,881"
2022,6065,Riverside County,"86,350","84,740 to 87,960"
2022,6067,Sacramento County,"83,985","82,277 to 85,693"
