Year,ID,Name,Poverty Universe,Number in Poverty,90% Confidence Interval,Percent in Poverty,90% Confidence Interval
2023,0,United States,"327,076,658","40,763,043","40,485,829 to 41,040,257",12.5,12.4 to 12.6
2023,6000,California,"38,249,913","4,597,732","4,546,196 to 4,649,268",12.0,11.9 to 12.1
2023,6001,Alameda County,"1,594,026","151,872","138,959 to 164,785",9.5,8.7 to 10.3
2023,6003,Alpine County,"1,136",177,134 to 220,15.6,11.8 to 19.4
2023,6005,Amador County,"37,700","4,400","3,493 to 5,307",11.7,9.3 to 14.1
2023,6007,Butte County,"203,267","40,532","36,792 to 44,272",19.9,18.1 to 21.7
2023,6009,Calaveras County,"46,155","5,639","4,559 to 6,719",12.2,9.9 to 14.5
2023,6011,Colusa County,"21,852","2,677","2,093 to 3,261",12.3,9.6 to 15.0
2023,6013,Contra Costa County,"1,146,741","95,369","86,108 to 104,630",8.3,7.5 to 9.1
2023,6015,Del Norte County,"24,647","3,408","2,432 to 4,384",13.8,9.8 to 17.8
2023,6017,El Dorado County,"191,205","13,438","11,009 to 15,867",7.0,5.7 to 8.3
2023,6019,Fresno County,"1,000,438","177,171","163,569 to 190,773",17.7,16.3 to 19.1
2023,6021,Glenn County,"27,934","3,769","2,938 to 4,600",13.5,10.5 to 16.5
2023,6023,Humboldt County,"131,189","21,856","18,748 to 24,964",16.7,14.3 to 19.1
2023,6025,Imperial County,"171,828","29,810","25,181 to 34,439",17.3,14.6 to 20.0
2023,6027,Inyo County,"18,330","2,169","1,665 to 2,673",11.8,9.1 to 14.5
2023,6029,Kern County,"894,059","169,857","159,305 to 180,409",19.0,17.8 to 20.2
2023,6031,Kings County,"137,023","23,950","20,025 to 27,875",17.5,14.6 to 20.4
2023,6033,Lake County,"67,157","11,790","9,746 to 13,834",17.6,14.6 to 20.6
2023,6035,Lassen County,"23,331","3,992","3,055 to 4,929",17.1,13.1 to 21.1
2023,6037,Los Angeles County,"9,513,752","1,299,957","1,260,625 to 1,339,289",13.7,13.3 to 14.1
2023,6039,Madera County,"155,978","28,046","23,870 to 32,222",18.0,15.3 to 20.7
2023,6041,Marin County,"248,324","21,535","18,388 to 24,682",8.7,7.4 to 10.0
2023,6043,Mariposa County,"16,800","2,899","2,371 to 3,427",17.3,14.2 to 20.4
2023,6045,Mendocino County,"88,302","12,295","9,918 to 14,672",13.9,11.2 to 16.6
2023,6047,Merced County,"285,853","53,192","47,372 to 59,012",18.6,16.6 to 20.6
2023,6049,Modoc County,"8,402","1,690","1,325 to 2,055",20.1,15.8 to 24.4
2023,6051,Mono County,"12,942","1,013","744 to 1,282",7.8,5.7 to 9.9
2023,6053,Monterey County,"415,686","58,136","52,310 to 63,962",14.0,12.6 to 15.4
2023,6055,Napa County,"130,284","11,581","9,547 to 13,615",8.9,7.3 to 10.5
2023,6057,Nevada County,"100,698","10,990","9,288 to 12,692",10.9,9.2 to 12.6
2023,6059,Orange County,"3,089,759","284,696","261,283 to 308,109",9.2,8.4 to 10.0
2023,6061,Placer County,"419,834","27,088","23,397 to 30,779",6.5,5.6 to 7.4
2023,6063,Plumas County,"19,018","2,418","1,839 to 2,997",12.7,9.7 to 15.7
2023,6065,Riverside County,"2,456,787","278,442","257,914 to 298,970",11.3,10.5 to 12.1
2023,6067,Sacramento County,"1,562,274","185,867","171,128 to 200,606",11.9,11.0 to 12.8
2023,6069,San Benito County,"67,837","6,204","4,900 to 7,508",9.1,7.2 to 11.0
2023,6071,San Bernardino County,"2,154,679","284,772","264,520 to 305,024",13.2,12.3 to 14.1
2023,6073,San Diego County,"3,172,155","319,714","299,720 to 339,708",10.1,9.5 to 10.7
2023,6075,San Francisco County,"797,824","95,298","88,859 to 101,737",11.9,11.1 to 12.7
2023,6077,San Joaquin County,"789,627","99,266","87,984 to 110,548",12.6,11.2 to 14.0
2023,6079,San Luis Obispo County,"267,189","34,227","30,191 to 38,263",12.8,11.3 to 14.3
2023,6081,San Mateo County,"720,391","52,747","47,763 to 57,731",7.3,6.6 to 8.0
2023,6083,Santa Barbara County,"423,324","62,891","56,668 to 69,114",14.9,13.4 to 16.4
2023,6085,Santa Clara County,"1,838,183","139,084","125,533 to 152,635",7.6,6.9 to 8.3
2023,6087,Santa Cruz County,"252,242","31,840","27,748 to 35,932",12.6,11.0 to 14.2
2023,6089,Shasta County,"178,134","23,527","19,847 to 27,207",13.2,11.1 to 15.3
2023,6091,Sierra County,"3,162",397,300 to 494,12.6,9.5 to 15.7
2023,6093,Siskiyou County,"42,516","7,273","6,093 to 8,453",17.1,14.3 to 19.9
2023,6095,Solano County,"439,933","45,402","40,249 to 50,555",10.3,9.1 to 11.5
2023,6097,Sonoma County,"475,638","43,143","37,393 to 48,893",9.1,7.9 to 10.3
2023,6099,Stanislaus County,"546,499","68,761","60,352 to 77,170",12.6,11.1 to 14.1
2023,6101,Sutter County,"97,140","14,849","12,576 to 17,122",15.3,13.0 to 17.6
2023,6103,Tehama County,"64,238","9,633","7,797 to 11,469",15.0,12.1 to 17.9
2023,6105,Trinity County,"15,501","3,223","2,428 to 4,018",20.8,15.7 to 25.9
